objectid,wd17cd,wd17nm,wd17nmw,bng_e,bng_n,longitude,lat,st_areashape,st_lengthshape
1618,E05002069,Staple Hill, ,364987,175607,-2.50554991,51.47832108,0.000165207716063269,0.0709538909955305
1619,E05002070,Stoke Gifford, ,361696,180646,-2.55348992,51.52341843,0.000470388664684992,0.120470016884201
1620,E05002071,Thornbury North, ,364494,191301,-2.51424003,51.61940002,0.00160162526768671,0.312790447460513
1621,E05002072,Thornbury South and Alveston, ,364146,187620,-2.5188899,51.58628082,0.00202296334410835,0.295471305826478
1622,E05002073,Westerleigh, ,372579,180412,-2.39661002,51.52194977,0.00396085170252132,0.449490659097619
1623,E05002074,Winterbourne, ,364335,180335,-2.51541996,51.5207901,0.00138133437964271,0.226307678928902
1624,E05002075,Woodstock, ,365190,173277,-2.50239992,51.45738983,0.000267888229766293,0.0900448893290612
1625,E05002076,Yate Central, ,370960,182194,-2.42008996,51.53789139,0.000322923589475452,0.102808924284365
1626,E05002077,Yate North, ,371845,184116,-2.40748,51.55522156,0.000736529926576855,0.149182296075272
1627,E05002078,Budshead, ,248031,59638,-4.14045,50.41688156,0.000580367946005277,0.167950191121604
1628,E05002079,Compton, ,249158,56556,-4.12336016,50.38946915,0.000313029722790017,0.119351407511565
1629,E05002080,Devonport, ,245218,55684,-4.17838001,50.38061142,0.000480830850435773,0.205481316332403
1630,E05002081,Drake, ,248113,55331,-4.13754988,50.37818909,0.000110274428926062,0.0528319291424685
1631,E05002082,Efford and Lipson, ,250591,56269,-4.10309982,50.38726044,0.000392642346475524,0.130458395488538
1632,E05002083,Eggbuckland, ,249157,58078,-4.12398005,50.40314865,0.000458545323947241,0.125923865033998
1633,E05002084,Ham, ,246064,57478,-4.16723013,50.39694977,0.00042554888633826,0.123790227509009
1634,E05002085,Honicknowle, ,245723,59360,-4.17280006,50.41378021,0.000630121526276,0.167627189354374
1635,E05002086,Moor View, ,250660,59291,-4.10333014,50.41442871,0.00105843238454685,0.188587424690943
1636,E05002087,Peverell, ,247528,56417,-4.14622021,50.38779831,0.000366706185751076,0.106714805211005
1637,E05002088,Plympton Chaddlewood, ,255661,56171,-4.03178978,50.38764191,0.000194577484542245,0.0776576273134678
1638,E05002089,Plympton Erle, ,253552,55857,-4.06130981,50.38430023,0.000515204513140262,0.147401487502603
1639,E05002090,Plympton St Mary, ,253417,57351,-4.06378984,50.39768982,0.000694944773536486,0.1725972876419
1640,E05002091,Plymstock Dunstone, ,252959,53132,-4.06859016,50.3596611,0.000787049306357151,0.177199103019019
1641,E05002092,Plymstock Radford, ,251152,54053,-4.09433985,50.36748123,0.00110111041599488,0.279294298503537
1642,E05002093,St Budeaux, ,244506,58063,-4.18938017,50.40179825,0.000410078292131333,0.117579713883031
1643,E05002094,St Peter and the Waterfront, ,247186,54242,-4.15013981,50.36817169,0.000387960480987413,0.227310785169833
1644,E05002095,Southway, ,249032,61394,-4.12707996,50.43291855,0.000564193873013259,0.160896575854068
1645,E05002096,Stoke, ,246528,55514,-4.15990019,50.37942886,0.000277493477517355,0.0929057951312282
1646,E05002097,Sutton and Mount Gould, ,249334,54431,-4.12002993,50.37041855,0.000344853068639896,0.116992325439753
1647,E05002098,Berry Head-with-Furzeham, ,293562,56364,-3.49890995,50.39746857,0.000418330440895003,0.173531723138603
1648,E05002099,Blatchcombe, ,286266,60066,-3.60263991,50.42937851,0.00139641274078905,0.203139450271627
1649,E05002100,Churston-with-Galmpton, ,289848,55763,-3.55097008,50.39138031,0.00125106259165632,0.242038732557212
1650,E05002101,Clifton-with-Maidenway, ,288161,61075,-3.57628012,50.43881989,0.000180391832362394,0.0992688290996004
1651,E05002102,Cockington-with-Chelston, ,288992,63824,-3.56539011,50.46369171,0.00092630598778425,0.151185901312146
1652,E05002103,Ellacombe, ,292046,64527,-3.52257991,50.47058105,0.00012088617042361,0.0664227117505501
1653,E05002104,Goodrington-with-Roselands, ,288309,59299,-3.5736599,50.42287827,0.000386823998994935,0.102413373320241
1654,E05002105,Preston, ,288780,62182,-3.56788993,50.44889069,0.000390036791902541,0.103132981161656
1655,E05002106,Roundham-with-Hyde, ,288900,60792,-3.56578994,50.436409,0.000177603056483146,0.0959117467916427
